date,indicator,value,unit
1996-01-31,Inflation,154.9,Index
1996-01-31,GDP,,Billions of Dollars
1996-01-31,Unemployment,5.5,Percent
1996-01-31,Interest,5.22,Percent
1996-01-31,S&P 500,,Adjusted Close (SPY)
1996-02-29,Inflation,155.7,Index
1996-02-29,GDP,,Billions of Dollars
1996-02-29,Unemployment,5.5,Percent
1996-02-29,Interest,5.31,Percent
1996-02-29,S&P 500,,Adjusted Close (SPY)
1996-03-31,Inflation,156.3,Index
1996-03-31,GDP,,Billions of Dollars
1996-03-31,Unemployment,5.6,Percent
1996-03-31,Interest,5.22,Percent
1996-03-31,S&P 500,,Adjusted Close (SPY)
1996-04-30,Inflation,156.6,Index
1996-04-30,GDP,,Billions of Dollars
1996-04-30,Unemployment,5.6,Percent
1996-04-30,Interest,5.24,Percent
1996-04-30,S&P 500,,Adjusted Close (SPY)
1996-05-31,Inflation,156.7,Index
1996-05-31,GDP,,Billions of Dollars
1996-05-31,Unemployment,5.3,Percent
1996-05-31,Interest,5.27,Percent
1996-05-31,S&P 500,,Adjusted Close (SPY)
1996-06-30,Inflation,157.0,Index
1996-06-30,GDP,,Billions of Dollars
1996-06-30,Unemployment,5.5,Percent
1996-06-30,Interest,5.4,Percent
1996-06-30,S&P 500,,Adjusted Close (SPY)
1996-07-31,Inflation,157.3,Index
1996-07-31,GDP,,Billions of Dollars
1996-07-31,Unemployment,5.1,Percent
1996-07-31,Interest,5.22,Percent
1996-07-31,S&P 500,,Adjusted Close (SPY)
1996-08-31,Inflation,157.8,Index
1996-08-31,GDP,,Billions of Dollars
1996-08-31,Unemployment,5.2,Percent
1996-08-31,Interest,5.3,Percent
1996-08-31,S&P 500,,Adjusted Close (SPY)
1996-09-30,Inflation,158.3,Index
1996-09-30,GDP,,Billions of Dollars
1996-09-30,Unemployment,5.2,Percent
1996-09-30,Interest,5.24,Percent
1996-09-30,S&P 500,,Adjusted Close (SPY)
1996-10-31,Inflation,158.6,Index
1996-10-31,GDP,,Billions of Dollars
1996-10-31,Unemployment,5.4,Percent
1996-10-31,Interest,5.31,Percent
1996-10-31,S&P 500,,Adjusted Close (SPY)
1996-11-30,Inflation,158.6,Index
1996-11-30,GDP,,Billions of Dollars
1996-11-30,Unemployment,5.4,Percent
1996-11-30,Interest,5.29,Percent
1996-11-30,S&P 500,,Adjusted Close (SPY)
1996-12-31,Inflation,159.1,Index
1996-12-31,GDP,12370.299,Billions of Dollars
1996-12-31,Unemployment,5.3,Percent
1996-12-31,Interest,5.25,Percent
1996-12-31,S&P 500,,Adjusted Close (SPY)
1997-01-31,Inflation,159.6,Index
1997-01-31,GDP,,Billions of Dollars
1997-01-31,Unemployment,5.2,Percent
1997-01-31,Interest,5.19,Percent
1997-01-31,S&P 500,,Adjusted Close (SPY)
1997-02-28,Inflation,160.0,Index
1997-02-28,GDP,,Billions of Dollars
1997-02-28,Unemployment,5.2,Percent
1997-02-28,Interest,5.39,Percent
1997-02-28,S&P 500,,Adjusted Close (SPY)
1997-03-31,Inflation,160.2,Index
1997-03-31,GDP,,Billions of Dollars
1997-03-31,Unemployment,5.1,Percent
1997-03-31,Interest,5.51,Percent
1997-03-31,S&P 500,,Adjusted Close (SPY)
1997-04-30,Inflation,160.1,Index
1997-04-30,GDP,,Billions of Dollars
1997-04-30,Unemployment,4.9,Percent
1997-04-30,Interest,5.5,Percent
1997-04-30,S&P 500,,Adjusted Close (SPY)
1997-05-31,Inflation,160.3,Index
1997-05-31,GDP,,Billions of Dollars
1997-05-31,Unemployment,5.0,Percent
1997-05-31,Interest,5.56,Percent
1997-05-31,S&P 500,,Adjusted Close (SPY)
1997-06-30,Inflation,160.5,Index
1997-06-30,GDP,,Billions of Dollars
1997-06-30,Unemployment,4.9,Percent
1997-06-30,Interest,5.52,Percent
1997-06-30,S&P 500,,Adjusted Close (SPY)
1997-07-31,Inflation,160.8,Index
1997-07-31,GDP,,Billions of Dollars
1997-07-31,Unemployment,4.8,Percent
1997-07-31,Interest,5.54,Percent
1997-07-31,S&P 500,,Adjusted Close (SPY)
1997-08-31,Inflation,161.2,Index
1997-08-31,GDP,,Billions of Dollars
1997-08-31,Unemployment,4.9,Percent
1997-08-31,Interest,5.54,Percent
1997-08-31,S&P 500,,Adjusted Close (SPY)
1997-09-30,Inflation,161.6,Index
1997-09-30,GDP,,Billions of Dollars
1997-09-30,Unemployment,4.7,Percent
1997-09-30,Interest,5.5,Percent
1997-09-30,S&P 500,,Adjusted Close (SPY)
1997-10-31,Inflation,161.5,Index
1997-10-31,GDP,,Billions of Dollars
1997-10-31,Unemployment,4.6,Percent
1997-10-31,Interest,5.52,Percent
1997-10-31,S&P 500,,Adjusted Close (SPY)
1997-11-30,Inflation,161.3,Index
1997-11-30,GDP,,Billions of Dollars
1997-11-30,Unemployment,4.7,Percent
1997-11-30,Interest,5.5,Percent
1997-11-30,S&P 500,,Adjusted Close (SPY)
1997-12-31,Inflation,161.6,Index
1997-12-31,GDP,12924.876,Billions of Dollars
1997-12-31,Unemployment,4.6,Percent
1997-12-31,Interest,5.56,Percent
1997-12-31,S&P 500,,Adjusted Close (SPY)
1998-01-31,Inflation,161.9,Index
1998-01-31,GDP,,Billions of Dollars
1998-01-31,Unemployment,4.6,Percent
1998-01-31,Interest,5.51,Percent
1998-01-31,S&P 500,,Adjusted Close (SPY)
1998-02-28,Inflation,162.2,Index
1998-02-28,GDP,,Billions of Dollars
1998-02-28,Unemployment,4.7,Percent
1998-02-28,Interest,5.49,Percent
1998-02-28,S&P 500,,Adjusted Close (SPY)
1998-03-31,Inflation,162.5,Index
1998-03-31,GDP,,Billions of Dollars
1998-03-31,Unemployment,4.3,Percent
1998-03-31,Interest,5.45,Percent
1998-03-31,S&P 500,,Adjusted Close (SPY)
1998-04-30,Inflation,162.8,Index
1998-04-30,GDP,,Billions of Dollars
1998-04-30,Unemployment,4.4,Percent
1998-04-30,Interest,5.49,Percent
1998-04-30,S&P 500,,Adjusted Close (SPY)
1998-05-31,Inflation,163.0,Index
1998-05-31,GDP,,Billions of Dollars
1998-05-31,Unemployment,4.5,Percent
1998-05-31,Interest,5.56,Percent
1998-05-31,S&P 500,,Adjusted Close (SPY)
1998-06-30,Inflation,163.2,Index
1998-06-30,GDP,,Billions of Dollars
1998-06-30,Unemployment,4.5,Percent
1998-06-30,Interest,5.54,Percent
1998-06-30,S&P 500,,Adjusted Close (SPY)
1998-07-31,Inflation,163.4,Index
1998-07-31,GDP,,Billions of Dollars
1998-07-31,Unemployment,4.5,Percent
1998-07-31,Interest,5.55,Percent
1998-07-31,S&P 500,,Adjusted Close (SPY)
1998-08-31,Inflation,163.6,Index
1998-08-31,GDP,,Billions of Dollars
1998-08-31,Unemployment,4.6,Percent
1998-08-31,Interest,5.51,Percent
1998-08-31,S&P 500,,Adjusted Close (SPY)
1998-09-30,Inflation,164.0,Index
1998-09-30,GDP,,Billions of Dollars
1998-09-30,Unemployment,4.5,Percent
1998-09-30,Interest,5.07,Percent
1998-09-30,S&P 500,,Adjusted Close (SPY)
1998-10-31,Inflation,164.0,Index
1998-10-31,GDP,,Billions of Dollars
1998-10-31,Unemployment,4.4,Percent
1998-10-31,Interest,4.83,Percent
1998-10-31,S&P 500,,Adjusted Close (SPY)
1998-11-30,Inflation,163.9,Index
1998-11-30,GDP,,Billions of Dollars
1998-11-30,Unemployment,4.4,Percent
1998-11-30,Interest,4.68,Percent
1998-11-30,S&P 500,,Adjusted Close (SPY)
1998-12-31,Inflation,164.3,Index
1998-12-31,GDP,13543.774,Billions of Dollars
1998-12-31,Unemployment,4.3,Percent
1998-12-31,Interest,4.63,Percent
1998-12-31,S&P 500,,Adjusted Close (SPY)
1999-01-31,Inflation,164.5,Index
1999-01-31,GDP,,Billions of Dollars
1999-01-31,Unemployment,4.4,Percent
1999-01-31,Interest,4.76,Percent
1999-01-31,S&P 500,,Adjusted Close (SPY)
1999-02-28,Inflation,165.0,Index
1999-02-28,GDP,,Billions of Dollars
1999-02-28,Unemployment,4.2,Percent
1999-02-28,Interest,4.81,Percent
1999-02-28,S&P 500,,Adjusted Close (SPY)
1999-03-31,Inflation,166.2,Index
1999-03-31,GDP,,Billions of Dollars
1999-03-31,Unemployment,4.3,Percent
1999-03-31,Interest,4.74,Percent
1999-03-31,S&P 500,,Adjusted Close (SPY)
1999-04-30,Inflation,166.2,Index
1999-04-30,GDP,,Billions of Dollars
1999-04-30,Unemployment,4.2,Percent
1999-04-30,Interest,4.74,Percent
1999-04-30,S&P 500,,Adjusted Close (SPY)
1999-05-31,Inflation,166.2,Index
1999-05-31,GDP,,Billions of Dollars
1999-05-31,Unemployment,4.3,Percent
1999-05-31,Interest,4.76,Percent
1999-05-31,S&P 500,,Adjusted Close (SPY)
1999-06-30,Inflation,166.7,Index
1999-06-30,GDP,,Billions of Dollars
1999-06-30,Unemployment,4.3,Percent
1999-06-30,Interest,4.99,Percent
1999-06-30,S&P 500,,Adjusted Close (SPY)
1999-07-31,Inflation,167.1,Index
1999-07-31,GDP,,Billions of Dollars
1999-07-31,Unemployment,4.2,Percent
1999-07-31,Interest,5.07,Percent
1999-07-31,S&P 500,,Adjusted Close (SPY)
1999-08-31,Inflation,167.9,Index
1999-08-31,GDP,,Billions of Dollars
1999-08-31,Unemployment,4.2,Percent
1999-08-31,Interest,5.22,Percent
1999-08-31,S&P 500,,Adjusted Close (SPY)
1999-09-30,Inflation,168.2,Index
1999-09-30,GDP,,Billions of Dollars
1999-09-30,Unemployment,4.1,Percent
1999-09-30,Interest,5.2,Percent
1999-09-30,S&P 500,,Adjusted Close (SPY)
1999-10-31,Inflation,168.3,Index
1999-10-31,GDP,,Billions of Dollars
1999-10-31,Unemployment,4.1,Percent
1999-10-31,Interest,5.42,Percent
1999-10-31,S&P 500,,Adjusted Close (SPY)
1999-11-30,Inflation,168.3,Index
1999-11-30,GDP,,Billions of Dollars
1999-11-30,Unemployment,4.0,Percent
1999-11-30,Interest,5.3,Percent
1999-11-30,S&P 500,,Adjusted Close (SPY)
1999-12-31,Inflation,168.8,Index
1999-12-31,GDP,14096.033,Billions of Dollars
1999-12-31,Unemployment,4.0,Percent
1999-12-31,Interest,5.45,Percent
1999-12-31,S&P 500,92.4501,Adjusted Close (SPY)
2000-01-31,Inflation,169.8,Index
2000-01-31,GDP,,Billions of Dollars
2000-01-31,Unemployment,4.1,Percent
2000-01-31,Interest,5.73,Percent
2000-01-31,S&P 500,87.8473,Adjusted Close (SPY)
2000-02-29,Inflation,171.2,Index
2000-02-29,GDP,,Billions of Dollars
2000-02-29,Unemployment,4.0,Percent
2000-02-29,Interest,5.85,Percent
2000-02-29,S&P 500,86.5097,Adjusted Close (SPY)
2000-03-31,Inflation,171.3,Index
2000-03-31,GDP,,Billions of Dollars
2000-03-31,Unemployment,3.8,Percent
2000-03-31,Interest,6.02,Percent
